City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atuona,PF,24.91,scattered clouds,-9.8,-139.0333,Villa Enata
4,Port Alfred,ZA,15.1,clear sky,-33.5906,26.891,The Halyards Hotel
9,Rikitea,PF,21.44,broken clouds,-23.1203,-134.9692,People ThankYou
11,Nantucket,US,17.06,mist,41.2835,-70.0995,Jared Coffin House
15,Bandarbeyla,SO,24.51,overcast clouds,9.4942,50.8122,JABIR HOTEL
16,Tsiroanomandidy,MG,19.1,clear sky,-18.7667,46.0333,Hotel Ravinala
17,East London,ZA,17.36,broken clouds,-33.0153,27.9116,Tu Casa
19,Banda Aceh,ID,24.55,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
25,Vaini,TO,24.09,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Sibiti,CG,20.24,overcast clouds,-3.6819,13.3499,Gaby et confort
39,Arraial Do Cabo,BR,20.92,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
40,Carnarvon,AU,21.59,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
41,Hobyo,SO,24.63,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
54,Presidente Olegario,BR,19.53,moderate rain,-18.4178,-46.4181,Cruzeiro Hotel
62,Astorga,BR,21.13,clear sky,-23.2325,-51.6656,Rancho Jads
67,Yulara,AU,24.3,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
70,Namie,JP,17.21,light rain,37.4833,141.0,いこいの村なみえ
72,Huambo,AO,17.17,few clouds,-12.7761,15.7392,Residencial Mãesidencial Mãe Lina
73,Vao,NC,20.53,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
74,Sao Joao Da Barra,BR,20.59,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
76,Simao,CN,23.64,clear sky,22.7886,100.9748,Changyu Hotel
77,Port Lincoln,AU,17.79,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
81,Bell Ville,AR,18.7,broken clouds,-32.6259,-62.6887,Hotel Central
82,Mayumba,GA,24.19,overcast clouds,-3.432,10.6554,LIKWALE LODGE
83,Port Elizabeth,ZA,15.73,clear sky,-33.918,25.5701,39 On Nile Guest House
85,San Quintin,MX,20.76,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
87,Pisco,PE,15.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
94,Hatsukaichi,JP,23.97,overcast clouds,34.35,132.3333,ホテル WAVE
98,Ambikapur,IN,23.02,light rain,23.1167,83.2,Hotel Birendra Prabha
99,Saint-Philippe,RE,19.77,scattered clouds,-21.3585,55.7679,Le four à pain
100,Puerto Ayora,EC,19.19,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
107,Buenos Aires,AR,16.85,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
113,Kathmandu,NP,19.12,overcast clouds,27.7167,85.3167,Hotel Shanker Kathmandu
122,Gallup,US,15.42,overcast clouds,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
128,Launceston,AU,15.34,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
129,Ponta Do Sol,PT,22.62,broken clouds,32.6667,-17.1,Hotel do Campo
132,Lompoc,US,24.08,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
133,Saint Anthony,US,21.06,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
135,Camana,PE,15.67,scattered clouds,-16.6228,-72.7111,Hostal Morales
137,Arrifes,PT,20.13,few clouds,37.7667,-25.7,Hotel Ponta Delgada
139,Hasaki,JP,23.22,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
140,Esperance,AU,18.92,broken clouds,-33.8667,121.9,Hospitality Esperance
142,Koundara,GN,23.96,broken clouds,12.4833,-13.3,Residance B....
145,Tocache,PE,24.4,overcast clouds,-8.1842,-76.5125,Residencial JATER
147,Half Moon Bay,US,22.24,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
153,Paragominas,BR,22.81,scattered clouds,-2.9667,-47.4833,INOVA
155,Portland,US,19.96,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
157,Ribeira Grande,PT,21.27,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
158,Palma Di Montechiaro,IT,19.06,scattered clouds,37.1926,13.765,B&B Manca Residence
160,San Cristobal,VE,24.1,overcast clouds,7.7669,-72.225,Pirineos
163,Wuning,CN,18.4,overcast clouds,29.2589,120.2311,Fu Du Hotel
164,North Platte,US,16.66,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
166,Rabo De Peixe,PT,20.71,few clouds,37.8,-25.5833,Quinta das Giestas
171,Mahebourg,MU,20.16,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
181,Tura,IN,23.18,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
194,Salinas,US,22.34,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
195,Mustang,US,24.03,scattered clouds,35.3842,-97.7245,Luxury Inn
202,Am Timan,TD,21.37,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
203,Monopoli,IT,17.07,clear sky,40.9559,17.2896,Il Melograno
205,Hualmay,PE,16.03,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
212,Miles City,US,17.54,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
216,Moron,AR,16.86,clear sky,-34.6534,-58.6198,Hotel Morón
217,Meulaboh,ID,23.52,overcast clouds,4.1363,96.1285,Kost Pria
220,Santa Luzia,BR,21.19,broken clouds,-19.7697,-43.8514,Pousada Chao Earth
222,Mocuba,MZ,20.91,clear sky,-16.8392,36.9856,Phama Lodge
223,Cidreira,BR,15.35,clear sky,-30.1811,-50.2056,Hotel Castelo
227,Tamandare,BR,23.49,few clouds,-8.7597,-35.1047,Pousada 100 Passos
230,Souillac,MU,20.21,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
238,North Bend,US,16.25,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
246,Beira,MZ,22.05,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
248,Sechura,PE,16.91,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
249,Prachuap Khiri Khan,TH,24.18,moderate rain,12.2167,99.75,ผกากรองรีสอร์ท
260,Tabou,CI,24.6,overcast clouds,4.423,-7.3528,hotêl doufoulougou
262,Agropoli,IT,17.27,few clouds,40.3469,14.9966,B&B Baia di Trentova
265,Sitka,US,18.94,scattered clouds,57.0531,-135.33,Westmark Sitka
267,Great Yarmouth,GB,16.25,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
269,Katsuura,JP,24.01,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
270,Rosita,NI,23.05,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
279,Pemberton,CA,23.83,overcast clouds,50.3164,-122.8027,Pemberton Valley Lodge
282,Port Hardy,CA,16.1,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
285,Puerto Ayacucho,VE,24.22,moderate rain,5.6639,-67.6236,Posada Turistica Manapiare
