City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chapais,CA,49.7834,-74.8492,9.88,99,100,1.35,overcast clouds
1,Airai,TL,-8.9266,125.4092,23.05,63,82,0.97,broken clouds
2,Atuona,PF,-9.8,-139.0333,24.91,69,40,9.31,scattered clouds
3,Busselton,AU,-33.65,115.3333,14.21,69,58,7.83,broken clouds
4,Port Alfred,ZA,-33.5906,26.891,15.1,90,0,0.45,clear sky
5,Punta Arenas,CL,-53.15,-70.9167,7.06,76,75,3.6,broken clouds
6,Yellowknife,CA,62.456,-114.3525,2.29,64,75,5.66,broken clouds
7,Bluff,NZ,-46.6,168.3333,4.33,68,94,13.79,overcast clouds
8,Edremit,TR,39.5961,27.0244,13.86,72,0,4.12,clear sky
9,Rikitea,PF,-23.1203,-134.9692,21.44,61,77,10.79,broken clouds
10,Hokitika,NZ,-42.7167,170.9667,9.33,60,53,12.97,broken clouds
11,Nantucket,US,41.2835,-70.0995,17.06,94,100,7.2,mist
12,Cairns,AU,-16.9167,145.7667,31.15,66,100,5.66,overcast clouds
13,Cape Town,ZA,-33.9258,18.4232,11.62,68,0,1.03,clear sky
14,Bengkulu,ID,-3.8004,102.2655,26.14,79,100,1.58,overcast clouds
15,Bandarbeyla,SO,9.4942,50.8122,24.51,84,100,7.68,overcast clouds
16,Tsiroanomandidy,MG,-18.7667,46.0333,19.1,60,0,0.72,clear sky
17,East London,ZA,-33.0153,27.9116,17.36,81,81,5.29,broken clouds
18,Atar,MR,20.5169,-13.0499,33.47,22,9,4.25,clear sky
19,Banda Aceh,ID,5.5577,95.3222,24.55,92,100,3.71,overcast clouds
20,Khanpur,PK,28.6453,70.6567,26.42,40,0,4.57,clear sky
21,Mataura,NZ,-46.1927,168.8643,4.15,97,99,5.43,overcast clouds
22,Olafsvik,IS,64.8945,-23.7142,5.08,91,100,16.0,overcast clouds
23,Beringovskiy,RU,63.05,179.3167,6.15,74,97,8.22,overcast clouds
24,Kawalu,ID,-7.3817,108.2082,26.07,79,99,1.71,overcast clouds
25,Vaini,TO,-21.2,-175.2,24.09,94,75,4.63,broken clouds
26,Vaitape,PF,-16.5167,-151.75,25.86,72,20,11.46,few clouds
27,Veinticinco De Mayo,AR,-35.4323,-60.1727,14.99,54,68,1.34,broken clouds
28,Castro,BR,-24.7911,-50.0119,13.1,98,12,2.58,few clouds
29,Saint-Gaudens,FR,43.0833,0.6667,10.01,71,0,2.14,clear sky
30,Sibiti,CG,-3.6819,13.3499,20.24,95,100,0.8,overcast clouds
31,Barrow,US,71.2906,-156.7887,1.01,86,100,3.09,overcast clouds
32,Ushuaia,AR,-54.8,-68.3,6.81,81,75,5.66,broken clouds
33,Bredasdorp,ZA,-34.5322,20.0403,9.02,83,75,1.98,broken clouds
34,San Policarpo,PH,12.1791,125.5072,28.06,82,99,3.01,overcast clouds
35,Saldanha,ZA,-33.0117,17.9442,7.03,71,26,4.04,scattered clouds
36,Hithadhoo,MV,-0.6,73.0833,28.04,69,100,7.82,overcast clouds
37,Torbay,CA,47.6666,-52.7314,10.15,86,0,8.75,clear sky
38,Aranos,NA,-24.1333,19.1167,19.76,17,0,3.39,clear sky
39,Arraial Do Cabo,BR,-22.9661,-42.0278,20.92,94,75,2.57,broken clouds
40,Carnarvon,AU,-24.8667,113.6333,21.59,65,35,5.66,scattered clouds
41,Hobyo,SO,5.3505,48.5268,24.63,88,86,5.72,overcast clouds
42,Te Anau,NZ,-45.4167,167.7167,3.13,79,64,4.62,broken clouds
43,Vestmanna,FO,62.1564,-7.1664,8.51,87,75,9.77,light rain
44,San Patricio,US,28.017,-97.5169,26.97,58,8,3.36,clear sky
45,Providencia,MX,28.7167,-111.5833,30.67,72,0,3.43,clear sky
46,Amahai,ID,-3.3333,128.9167,28.52,75,94,1.89,overcast clouds
47,Bethel,US,41.3712,-73.414,13.2,89,100,4.12,light rain
48,Lavrentiya,RU,65.5833,-171.0,3.22,71,8,3.38,clear sky
49,Wabana,CA,47.6332,-52.9481,10.04,87,0,8.75,clear sky
50,Nikolskoye,RU,59.7035,30.7861,7.67,96,85,1.57,overcast clouds
51,Lagos,NG,6.5833,3.75,25.18,94,80,0.98,broken clouds
52,Upernavik,GL,72.7868,-56.1549,-6.65,79,88,2.32,overcast clouds
53,Altay,CN,47.8667,88.1167,7.37,27,0,1.33,clear sky
54,Presidente Olegario,BR,-18.4178,-46.4181,19.53,84,100,1.33,moderate rain
55,Tuktoyaktuk,CA,69.4541,-133.0374,1.0,86,0,4.63,clear sky
56,Hobart,AU,-42.8794,147.3294,12.81,67,75,5.66,broken clouds
57,New Norfolk,AU,-42.7826,147.0587,12.62,46,99,3.77,overcast clouds
58,Tres Arroyos,AR,-38.3739,-60.2798,9.87,61,91,2.24,overcast clouds
59,Kapaa,US,22.0752,-159.319,28.99,67,40,6.69,scattered clouds
60,Christchurch,NZ,-43.5333,172.6333,9.12,78,100,4.63,overcast clouds
61,Isangel,VU,-19.55,169.2667,26.06,83,75,6.17,broken clouds
62,Astorga,BR,-23.2325,-51.6656,21.13,83,0,2.43,clear sky
63,Ilulissat,GL,69.2167,-51.1,0.01,51,17,1.03,few clouds
64,Tobol,KZ,52.6844,62.5794,3.63,39,60,3.12,broken clouds
65,Srednekolymsk,RU,67.45,153.6833,-2.97,54,15,7.6,few clouds
66,Chuy,UY,-33.6971,-53.4616,11.71,89,0,2.46,clear sky
67,Yulara,AU,-25.2406,130.9889,24.3,32,0,1.75,clear sky
68,Solton,RU,52.8429,86.4787,1.38,72,100,2.36,overcast clouds
69,Havoysund,NO,70.9963,24.6622,6.13,80,6,8.03,clear sky
70,Namie,JP,37.4833,141.0,17.21,84,100,4.15,light rain
71,Albany,US,42.6001,-73.9662,11.33,77,100,1.64,overcast clouds
72,Huambo,AO,-12.7761,15.7392,17.17,63,12,1.08,few clouds
73,Vao,NC,-22.6667,167.4833,20.53,59,3,3.63,clear sky
74,Sao Joao Da Barra,BR,-21.6403,-41.0511,20.59,95,100,1.74,overcast clouds
75,Ulladulla,AU,-35.35,150.4667,14.5,82,100,6.08,light rain
76,Simao,CN,22.7886,100.9748,23.64,63,7,1.1,clear sky
77,Port Lincoln,AU,-34.7333,135.8667,17.79,72,57,4.94,broken clouds
